3 26130 25430 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
3 26130 25540 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
3 26550 25800 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
0 26320 26000 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
1 26470 26000 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
4 26170 26000 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
2 26170 24000 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
3 2213.5 5291.05 0 1 AI_MOVEMENT_TYPE_STAND 0 {}
3 3395.99 5354.54 0 1 AI_MOVEMENT_TYPE_STAND 0 {}
3 1523.98 6102.21 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
3 3079.68 5578.9 0 0 AI_MOVEMENT_TYPE_STAND 0 {56, 106, 41, 110, 26, 116, 48, 123, 37, 131, 32, 124, 48, 116, 66, 118}
5 1268.54 5502.97 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
6 3082.94 5458.23 0 1 AI_MOVEMENT_TYPE_STAND 0 {}
7 1352.14 5935.99 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
3 2809.28 5967.43 0 0 AI_MOVEMENT_TYPE_STAND 0 {}
