0 Wall Wall OBJECT_BASE_TYPE_STRUCTURE WEAPON_TYPE_NONE EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 20 20 1 1 0 0 0 0 0 0
2 Colt22 Colt22 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_SMALL_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 0 0.5 0 1 0 0 5 300 100
3 M16 M16 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 0 1 0 1 1 0 8 100 100
4 M16_scope M16_scope OBJECT_BASE_TYPE_ADDON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_SIGHT 0 0 0.25 0 1 0 0 0 0 100
5 test_vest test_vest OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_VEST ATTACHMENT_TYPE_NONE 0 0 1 0 1 0 0 0 0 100
6 Barrel Barrel OBJECT_BASE_TYPE_ADDON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_BARREL 0 0 0.25 0 1 0 0 0 0 100
7 Grenade_Launcher Grenade_Launcher OBJECT_BASE_TYPE_ADDON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_MISC 0 0 0.25 0 1 0 0 0 0 100
8 AT4 AT4 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_ROCKET_LAUNCHER EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 0 1 0 1 0 0 20 2000 100
100 DesertEagle DesertEagle OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_SMALL_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 0 0.5 0 1 0 0 5 300 100
101 MP5 MP5 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 0 0.75 0 1 1 0 8 100 100
102 UMP UMP OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 0 0.75 0 1 1 0 8 100 100
1000 Leather_Gloves Leather_Gloves OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_GLOVES ATTACHMENT_TYPE_NONE 0 0 0.25 0 1 0 0 0 0 300
1001 Combat_Armor Combat_Armor OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_VEST ATTACHMENT_TYPE_NONE 0 0 1 0 1 0 0 0 1000 0
1002 Combat_Helmet Combat_Helmet OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_HELMET ATTACHMENT_TYPE_NONE 0 0 1 0 1 0 0 0 1000 0
