0 ID_0 Wall OBJECT_BASE_TYPE_STRUCTURE WEAPON_TYPE_NONE EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 0 1 0 0 0 0 0
2 ID_2 Colt22 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_SMALL_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 1 1 0 0 5 300 100
3 ID_3 M16 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 1 1 1 0 8 100 100
4 ID_4 M16_scope OBJECT_BASE_TYPE_ADDON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_SIGHT 1 1 0 0 0 0 100
5 ID_5 test_vest OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_VEST ATTACHMENT_TYPE_NONE 1 1 0 0 0 0 100
6 ID_6 Barrel OBJECT_BASE_TYPE_ADDON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_BARREL 1 1 0 0 0 0 100
7 ID_7 Grenade_Launcher OBJECT_BASE_TYPE_ADDON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_MISC 1 1 0 0 0 0 100
8 ID_8 AT4 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_ROCKET_LAUNCHER EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 1 1 0 0 20 2000 100
100 ID_100 DesertEagle OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_SMALL_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 1 1 0 0 5 300 100
101 ID_101 MP5 OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 1 1 1 0 8 100 100
102 ID_102 UMP OBJECT_BASE_TYPE_WEAPON WEAPON_TYPE_BIG_GUN EQUIPMENT_TYPE_NONE ATTACHMENT_TYPE_NONE 1 1 1 0 8 100 100
1000 ID_1000 Leather_Gloves OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_GLOVES ATTACHMENT_TYPE_NONE 1 1 0 0 0 0 300
1001 ID_1001 Combat_Armor OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_VEST ATTACHMENT_TYPE_NONE 1 1 0 0 0 1000 0
1002 ID_1002 Combat_Helmet OBJECT_BASE_TYPE_EQUIPMENT WEAPON_TYPE_NONE EQUIPMENT_TYPE_HELMET ATTACHMENT_TYPE_NONE 1 1 0 0 0 1000 0
